gameID,officialName,officialType
2010020097,Brad Lazarowich,Linesman
2010020098,Chris Rooney,Referee
2010020098,Stephane Auger,Referee
2010020098,Pierre Champoux,Linesman
2010020098,Derek Nansen,Linesman
2010020099,Stephen Walkom,Referee
2010020099,Kevin Pollock,Referee
2010020099,Steve Barton,Linesman
2010020099,Andy McElman,Linesman
2010020100,Dennis LaRue,Referee
2010020100,Gord Dwyer,Referee
2010020100,Don Henderson,Linesman
2010020100,Brian Murphy,Linesman
2010020101,Brad Watson,Referee
2010020101,Rob Martell,Referee
2010020101,Darren Gibbs,Linesman
2010020101,Mark Shewchyk,Linesman
2010020102,Kelly Sutherland,Referee
2010020102,Brian Pochmara,Referee
2010020102,Lonnie Cameron,Linesman
2010020102,Tim Nowak,Linesman
2010020103,Marc Joannette,Referee
2010020103,Dean Morton,Referee
2010020103,Scott Cherrey,Linesman
2010020103,Shane Heyer,Linesman
2010020104,Dan O'Halloran,Referee
2010020104,Frederick L'Ecuyer,Referee
2010020104,Brian Mach,Linesman
2010020104,David Brisebois,Linesman
2010020105,Tim Peel,Referee
2010020105,Eric Furlatt,Referee
2010020105,Dan Schachte,Linesman
2010020105,Pierre Racicot,Linesman
2010020106,Ian Walsh,Referee
2010020106,Steve Kozari,Referee
2010020106,Jay Sharrers,Linesman
2010020106,Jonny Murray,Linesman
2010020107,Brad Meier,Referee
2010020107,Francois StLaurent,Referee
2010020107,Scott Driscoll,Linesman
2010020107,Steve Miller,Linesman
2010020108,Dan O'Rourke,Referee
2010020108,Paul Devorski,Referee
2010020108,Tony Sericolo,Linesman
2010020108,Bryan Pancich,Linesman
2010020109,Wes McCauley,Referee
2010020109,Chris Lee,Referee
2010020109,Ryan Galloway,Linesman
2010020109,Mike Cvik,Linesman
2010020110,Tom Kowal,Referee
2010020110,Kyle Rehman,Referee
2010020110,Greg Devorski,Linesman
2010020110,Vaughan Rody,Linesman
2010020111,Mike Leggo,Referee
2010020111,Don VanMassenhoven,Referee
2010020111,Scott Cherrey,Linesman
2010020111,Shane Heyer,Linesman
2010020112,Frederick L'Ecuyer,Referee
2010020112,Stephen Walkom,Referee
2010020112,Lonnie Cameron,Linesman
2010020112,Don Henderson,Linesman
2010020113,Dave Jackson,Referee
2010020113,Justin StPierre,Referee
2010020113,Greg Devorski,Linesman
2010020113,Vaughan Rody,Linesman
2010020114,Brad Watson,Referee
2010020114,Marc Joannette,Referee
2010020114,Bryan Pancich,Linesman
2010020114,Jonny Murray,Linesman
2010020115,Dennis LaRue,Referee
2010020115,Rob Martell,Referee
2010020115,Brad Kovachik,Linesman
2010020115,Michel Cormier,Linesman
2010020116,Wes McCauley,Referee
2010020116,Francois StLaurent,Referee
2010020116,Brian Mach,Linesman
2010020116,Brad Lazarowich,Linesman
2010020117,Francis Charron,Referee
2010020117,Stephen Walkom,Referee
2010020117,Steve Barton,Linesman
2010020117,Pierre Champoux,Linesman
2010020118,Marc Joannette,Referee
2010020118,Ian Walsh,Referee
2010020118,Don Henderson,Linesman
2010020118,David Brisebois,Linesman
2010020119,Chris Rooney,Referee
2010020119,Dean Morton,Referee
2010020119,Derek Nansen,Linesman
2010020119,Mark Shewchyk,Linesman
2010020120,Dave Jackson,Referee
2010020120,Brad Meier,Referee
2010020120,Mark Wheler,Linesman
2010020120,Ryan Galloway,Linesman
2010020121,Kelly Sutherland,Referee
2010020121,Chris Ciamaga,Referee
2010020121,Darren Gibbs,Linesman
2010020121,Derek Amell,Linesman
2010020122,Justin StPierre,Referee
2010020122,Dan O'Halloran,Referee
2010020122,Vaughan Rody,Linesman
2010020122,Lonnie Cameron,Linesman
2010020123,Stephane Auger,Referee
2010020123,Tim Peel,Referee
2010020123,Brian Murphy,Linesman
2010020123,David Brisebois,Linesman
2010020124,Brad Watson,Referee
2010020124,Francois StLaurent,Referee
2010020124,Tim Nowak,Linesman
2010020124,Jonny Murray,Linesman
2010020125,Francis Charron,Referee
2010020125,Eric Furlatt,Referee
2010020125,Scott Cherrey,Linesman
2010020125,Scott Driscoll,Linesman
2010020126,Dan O'Rourke,Referee
2010020126,Brian Pochmara,Referee
2010020126,Pierre Racicot,Linesman
2010020126,Steve Miller,Linesman
2010020127,Wes McCauley,Referee
2010020127,Rob Martell,Referee
2010020127,Brad Lazarowich,Linesman
2010020127,Andy McElman,Linesman
2010020128,Tom Kowal,Referee
2010020128,Kevin Pollock,Referee
2010020128,Shane Heyer,Linesman
2010020128,Jay Sharrers,Linesman
2010020129,Dave Jackson,Referee
2010020129,Greg Kimmerly,Referee
2010020129,Dan Schachte,Linesman
2010020129,Michel Cormier,Linesman
2010020130,Don VanMassenhoven,Referee
2010020130,David Banfield,Referee
2010020130,Brad Lazarowich,Linesman
2010020130,Mark Shewchyk,Linesman
2010020131,Wes McCauley,Referee
2010020131,Steve Kozari,Referee
2010020131,Steve Barton,Linesman
2010020131,Derek Nansen,Linesman
2010020132,Tim Peel,Referee
2010020132,Stephen Walkom,Referee
2010020132,Scott Cherrey,Linesman
2010020132,Scott Driscoll,Linesman
2010020133,Kelly Sutherland,Referee
2010020133,Ghislain Hebert,Referee
2010020133,Tony Sericolo,Linesman
2010020133,Jonny Murray,Linesman
2010020134,Bill McCreary,Referee
2010020134,Kyle Rehman,Referee
2010020134,Mark Wheler,Linesman
2010020134,Mike Cvik,Linesman
2010020135,Frederick L'Ecuyer,Referee
2010020135,Brad Meier,Referee
2010020135,Brad Kovachik,Linesman
2010020135,Derek Amell,Linesman
2010020136,Justin StPierre,Referee
2010020136,Dan O'Halloran,Referee
2010020136,Brian Mach,Linesman
2010020136,Ryan Galloway,Linesman
2010020137,Greg Kimmerly,Referee
2010020137,Chris Lee,Referee
2010020137,Dan Schachte,Linesman
2010020137,Brian Murphy,Linesman
2010020138,Eric Furlatt,Referee
2010020138,Dean Morton,Referee
2010020138,Pierre Champoux,Linesman
2010020138,Michel Cormier,Linesman
2010020139,Paul Devorski,Referee
2010020139,Rob Martell,Referee
2010020139,Greg Devorski,Linesman
2010020139,Andy McElman,Linesman
2010020140,Ian Walsh,Referee
2010020140,Steve Kozari,Referee
2010020140,Derek Nansen,Linesman
2010020140,Steve Miller,Linesman
2010020141,Bill McCreary,Referee
2010020141,Stephane Auger,Referee
2010020141,Steve Barton,Linesman
2010020141,Tim Nowak,Linesman
2010020142,Tom Kowal,Referee
2010020142,Kevin Pollock,Referee
2010020142,Vaughan Rody,Linesman
2010020142,Bryan Pancich,Linesman
2010020143,Paul Devorski,Referee
2010020143,Tim Peel,Referee
2010020143,Andy McElman,Linesman
2010020143,Mark Shewchyk,Linesman
2010020144,Dave Jackson,Referee
2010020144,Rob Martell,Referee
2010020144,Dan Schachte,Linesman
2010020144,Scott Cherrey,Linesman
2010020145,Marc Joannette,Referee
2010020145,Chris Lee,Referee
2010020145,Pierre Champoux,Linesman
2010020145,Brian Murphy,Linesman
2010020146,Don VanMassenhoven,Referee
2010020146,Dean Morton,Referee
2010020146,Pierre Racicot,Linesman
2010020146,Michel Cormier,Linesman
2010020147,Greg Kimmerly,Referee
2010020147,Eric Furlatt,Referee
2010020147,Derek Nansen,Linesman
2010020147,Tony Sericolo,Linesman
2010020148,Chris Rooney,Referee
2010020148,Brian Pochmara,Referee
2010020148,Brad Lazarowich,Linesman
2010020148,David Brisebois,Linesman
2010020149,Ian Walsh,Referee
2010020149,Steve Kozari,Referee
2010020149,Tim Nowak,Linesman
2010020149,Steve Miller,Linesman
2010020150,Dan O'Halloran,Referee
2010020150,Gord Dwyer,Referee
2010020150,Ryan Galloway,Linesman
2010020150,Mike Cvik,Linesman
2010020151,Kelly Sutherland,Referee
2010020151,Stephane Auger,Referee
2010020151,Mark Wheler,Linesman
2010020151,Brad Kovachik,Linesman
2010020152,Brad Watson,Referee
2010020152,Kyle Rehman,Referee
2010020152,Lonnie Cameron,Linesman
2010020152,Derek Amell,Linesman
2010020153,Tom Kowal,Referee
2010020153,Kevin Pollock,Referee
2010020153,Jay Sharrers,Linesman
2010020153,Bryan Pancich,Linesman
2010020154,Dennis LaRue,Referee
2010020154,Francois StLaurent,Referee
2010020154,Brian Mach,Linesman
2010020154,Don Henderson,Linesman
2010020155,Mike Leggo,Referee
2010020155,Frederick L'Ecuyer,Referee
2010020155,Shane Heyer,Linesman
2010020155,Vaughan Rody,Linesman
